,Urban and other wastewater treatment plants - primary treatment (Number),Urban and other wastewater treatment plants - secondary treatment (Number),Urban and other wastewater treatment plants - tertiary treatment (Number),Number of plants (Number),Water abstraction for agriculture - irrigation (Million cubic metres),Total gross abstraction (Million cubic metres),Desalinated water (Million cubic metres),Fresh groundwater (Million cubic metres),Non fresh water sources (Million cubic metres),Generation of wastewater - industry total (Tonnes of O2 per day),Generation of wastewater - industry total (Million cubic metres),Generation of wastewater - industry total (Tonnes per day),Total wastewater discharged - without treatment (Tonnes of O2 per day),Total wastewater discharged - without treatment (Million cubic metres),Total wastewater discharged - without treatment (Tonnes per day),Total discharges of wastewater treatment plants (urban and other) (Tonnes of O2 per day),Total discharges of wastewater treatment plants (urban and other) (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Tonnes per day),Generation of wastewater - construction (Million cubic metres),Generation of wastewater - private households (Tonnes of O2 per day),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - private households (Tonnes per day),Total discharges to inland waters (Tonnes of O2 per day),Total discharges to inland waters (Million cubic metres),Total discharges to inland waters (Tonnes per day),Generation of wastewater - services (Tonnes of O2 per day),Generation of wastewater - services (Million cubic metres),Generation of wastewater - services (Tonnes per day),Urban and industrial wastewater treatment - total inflow (Tonnes of O2 per day),Urban and industrial wastewater treatment - total inflow (Million cubic metres),Urban and industrial wastewater treatment - total inflow (Tonnes per day),Generation of wastewater - point sources - total (Tonnes of O2 per day),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - point sources - total (Tonnes per day),Generation of wastewater - manufacturing industries (Million cubic metres),Nitrogen (N-tot ) (Tonnes per day),Biochemical oxygen demand (BOD) (Tonnes of O2 per day),Volume (Million cubic metres),Incoming load BOD5 (Tonnes of O2 per day),Design capacity BOD5 (Tonnes of O2 per day),Effluent BOD5 (Tonnes of O2 per day),Urban and other wastewater treatment plants - primary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - secondary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - tertiary treatment (Tonnes of O2 per day),Independent wastewater treatment - total (Percentage),Percentage of resident population not connected to urban and other wastewater treatment plants (Percentage),Urban and other wastewater treatment plants - primary treatment (Percentage),Urban and other wastewater treatment plants - secondary treatment (Percentage),Urban and other wastewater treatment plants - tertiary treatment (Percentage),Resident population (Thousand),Urban wastewater collecting system (Percentage),Precipitation (Million cubic metres)
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,31.0,569.0,915.0,505.0,,0.0,0.0,,,191.56,1472.75,27.9,,,,14.44,2282.68,24.28,,424.23,565.36,61.98,14.44,2282.68,24.28,191.56,244.59,27.9,,,,807.35,2282.7,117.78,888.47,47.35333333333333,273.93,1431.3185714285714,,,,,,,,,0.0,1.0,91.7,7947.61,,
2009,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0.0,777.0,1007.0,594.6666666666666,18.21,0.0,0.0,18.21,0.0,162.95,1470.65,24.99,0.0,0.0,0.0,14.25,2328.26,24.68,363.31,466.69,615.12,72.24,14.25,2328.26,24.68,162.95,242.49,24.99,792.58,2328.26,122.22,792.58,2328.26,122.22,888.47,52.0025,300.78125,1289.3080000000002,264.1933333333333,401.23,4.75,0.0,8.003333333333334,662.17,6.2,0.0,0.0,1.3,92.5,7997.3,93.8,
2011,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78568.0
2012,0.0,776.0,1009.0,595.0,,,,,,,,,0.0,0.0,0.0,12.09,1032.77,23.97,,490.2,660.97,76.79,12.09,1032.77,23.97,275.74,371.8,43.19,765.94,1032.77,119.98,765.94,1032.77,119.98,,58.26857142857144,331.7142857142858,737.6928571428572,255.3133333333333,403.34,4.03,0.0,7.606666666666666,655.0766666666666,5.48,0.0,0.0,1.25,93.27,8043.18,94.52,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
