,"Agriculture, forestry and fishing (Million cubic metres)",Households (Million cubic metres),Services (Million cubic metres),All NACE activities plus households (Million cubic metres),Industry and construction (Million cubic metres),Public water supply and self and other supply (Million cubic metres),Urban and other wastewater treatment plants - primary treatment (Number),Urban and other wastewater treatment plants - secondary treatment (Number),Urban and other wastewater treatment plants - tertiary treatment (Number),Number of plants (Number),Losses during transport - total (Million cubic metres),Water abstraction for agriculture - irrigation (Million cubic metres),Water abstraction for public water supply (Million cubic metres),Water abstraction for production of electricity - cooling (Million cubic metres),Total gross abstraction (Million cubic metres),Water transferred to other regions (exports) (Million cubic metres),Water transferred from other regions (imports) (Million cubic metres),Desalinated water (Million cubic metres),Reused  water (Million cubic metres),Fresh groundwater (Million cubic metres),Fresh surface and groundwater (Million cubic metres),Non fresh water sources (Million cubic metres),Fresh surface water (Million cubic metres),Total (Million cubic metres),Total wastewater discharged - without treatment (Tonnes of O2 per day),Total wastewater discharged - without treatment (Million cubic metres),Total wastewater discharged - without treatment (Tonnes per day),Total discharges of wastewater treatment plants (urban and other) (Tonnes of O2 per day),Total discharges of wastewater treatment plants (urban and other) (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Tonnes per day),Urban and industrial wastewater treatment - total inflow (Tonnes of O2 per day),Urban and industrial wastewater treatment - total inflow (Million cubic metres),Urban and industrial wastewater treatment - total inflow (Tonnes per day),Nitrogen (N-tot ) (Tonnes per day),Biochemical oxygen demand (BOD) (Tonnes of O2 per day),Volume (Million cubic metres),Incoming load BOD5 (Tonnes of O2 per day),Design capacity BOD5 (Tonnes of O2 per day),Effluent BOD5 (Tonnes of O2 per day),Urban and other wastewater treatment plants - primary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - secondary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - tertiary treatment (Tonnes of O2 per day),Independent wastewater treatment - total (Percentage),Percentage of resident population not connected to urban and other wastewater treatment plants (Percentage),Urban and other wastewater treatment plants - primary treatment (Percentage),Urban and other wastewater treatment plants - secondary treatment (Percentage),Urban and other wastewater treatment plants - tertiary treatment (Percentage),Resident population (Thousand),Urban wastewater collecting system (Percentage),Precipitation (Million cubic metres)
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,8.85,,,,,,,0.0,,,,,23.54,99.0,2517.0
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788.0
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028.0
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301.0
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0
2005,,,,,,,,6.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.0
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204.0
2012,1.2,1.65,2.32,6.56,1.4,2.626,,,,,0.4,0.35,1.7,0.0,1.44,0.0,0.0,0.0,0.0,2.733333333333333,0.0,0.0,0.775,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,2354.0
2013,,,,,,,0.0,10.0,9.0,6.333333333333333,,,,,,,,,,,,,,,0.0,0.0,0.0,0.38,9.4,0.43,5.9,9.4,0.84,0.42333333333333334,2.0933333333333333,6.266666666666667,1.9666666666666668,3.766666666666667,0.12666666666666668,0.0,1.86,4.0,1.7,0.3,0.0,28.7,69.3,,98.0,2079.0
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635.0
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412.0
