,"Agriculture, forestry and fishing (Million cubic metres)",Households (Million cubic metres),Services (Million cubic metres),All NACE activities plus households (Million cubic metres),Industry and construction (Million cubic metres),Public water supply and self and other supply (Million cubic metres),Urban and other wastewater treatment plants - primary treatment (Number),Urban and other wastewater treatment plants - secondary treatment (Number),Urban and other wastewater treatment plants - tertiary treatment (Number),Number of plants (Number),Water abstraction for public water supply (Million cubic metres),Total gross abstraction (Million cubic metres),Fresh groundwater (Million cubic metres),Fresh surface water (Million cubic metres),Generation of wastewater - industry total (Million cubic metres),Total wastewater discharged - without treatment (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Tonnes per day),Generation of wastewater - construction (Million cubic metres),Generation of wastewater - private households (Tonnes of O2 per day),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - mining and quarrying (Million cubic metres),Total discharges to inland waters (Million cubic metres),Generation of wastewater - services (Million cubic metres),Urban and industrial wastewater treatment - total inflow (Million cubic metres),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - manufacturing industries (Million cubic metres),Nitrogen (N-tot ) (Tonnes per day),Biochemical oxygen demand (BOD) (Tonnes of O2 per day),Volume (Million cubic metres),Incoming load BOD5 (Tonnes of O2 per day),Design capacity BOD5 (Tonnes of O2 per day),Effluent BOD5 (Tonnes of O2 per day),Urban and other wastewater treatment plants - primary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - secondary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - tertiary treatment (Tonnes of O2 per day),Independent wastewater treatment - total (Percentage),Percentage of resident population not connected to urban and other wastewater treatment plants (Percentage),Urban and other wastewater treatment plants - primary treatment (Percentage),Urban and other wastewater treatment plants - secondary treatment (Percentage),Urban and other wastewater treatment plants - tertiary treatment (Percentage),Resident population (Thousand),Urban wastewater collecting system (Percentage),Precipitation (Million cubic metres)
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61380.0
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57160.0
2007,0.06,465.63,20.16,3694.28,3208.43,1477.712,337.0,1006.07,869.01,737.36,399.7,1998.3200000000002,904.355,1493.665,167.36,164.1,1305.2,34.64,0.0,940.69,687.97,29.67,1469.29,4.64,1326.01,1019.22,129.57,34.64,940.69,573.0027272727274,313.52333333333337,391.3933333333334,,2.5250000000000004,57.685,997.1650000000001,3.82,0.26,0.21,6.95,85.91,9623.72,95.51,65712.0
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54910.0
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60142.0
2010,0.18,450.32,8.74,3865.12,3405.89,1546.05,334.0,917.0,928.0,726.3333333333334,395.54,2091.19,866.345,1620.385,172.82,125.93,1355.31,33.83,0.0,810.9,683.38,30.1,1481.24,6.21,1379.8,1025.75,133.23,33.83,810.9,581.2518181818182,270.28333333333336,391.8733333333334,,1.94,46.254999999999995,945.0400000000001,3.34,0.19,0.2,5.85,87.96,9666.59,96.2,61098.0
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55022.0
2012,,,,,,,,147.0,578.0,362.5,,,,,,,,,,,,,,,,,,,,,403.7808,550.37616,0.0,,21.81068,614.2939600000001,,,,,,,,60873.0
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60311.0
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53841.0
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49059.0
