,"Agriculture, forestry and fishing (Million cubic metres)",Households (Million cubic metres),All NACE activities plus households (Million cubic metres),Industry and construction (Million cubic metres),Public water supply and self and other supply (Million cubic metres),Losses during transport - total (Million cubic metres),Water abstraction for agriculture - irrigation (Million cubic metres),Water abstraction for public water supply (Million cubic metres),Water abstraction for production of electricity - cooling (Million cubic metres),Total gross abstraction (Million cubic metres),Reused  water (Million cubic metres),Fresh groundwater (Million cubic metres),Non fresh water sources (Million cubic metres),Fresh surface water (Million cubic metres),Total (Million cubic metres),"Generation of wastewater - agriculture, forestry, fishing (Tonnes of O2 per day)","Generation of wastewater - agriculture, forestry, fishing (Tonnes per day)",Generation of wastewater - industry total (Tonnes of O2 per day),Generation of wastewater - industry total (Million cubic metres),Generation of wastewater - industry total (Tonnes per day),Total wastewater discharged - without treatment (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Million cubic metres),Generation of wastewater - construction (Tonnes of O2 per day),Generation of wastewater - construction (Tonnes per day),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - mining and quarrying (Tonnes of O2 per day),Generation of wastewater - mining and quarrying (Million cubic metres),Generation of wastewater - mining and quarrying (Tonnes per day),Total discharges to inland waters (Million cubic metres),Generation of wastewater - services (Tonnes of O2 per day),Generation of wastewater - services (Tonnes per day),Urban and industrial wastewater treatment - total inflow (Million cubic metres),Generation of wastewater - point sources - total (Tonnes of O2 per day),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - point sources - total (Tonnes per day),Generation of wastewater - manufacturing industries (Tonnes of O2 per day),Generation of wastewater - manufacturing industries (Million cubic metres),Generation of wastewater - manufacturing industries (Tonnes per day),Nitrogen (N-tot ) (Tonnes per day),Biochemical oxygen demand (BOD) (Tonnes of O2 per day),Volume (Million cubic metres),Independent wastewater treatment - total (Percentage),Percentage of resident population not connected to urban and other wastewater treatment plants (Percentage),Urban and other wastewater treatment plants - primary treatment (Percentage),Urban and other wastewater treatment plants - secondary treatment (Percentage),Urban and other wastewater treatment plants - tertiary treatment (Percentage),Resident population (Thousand),Urban wastewater collecting system (Percentage)
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,4.0,108.02,346.93,278.83,184.445,103.1,4.0,132.14000000000001,120.84,156.48,72.66,255.625,,68.6625,103.1,0.045,0.014,15.388,29.95,0.766,112.81,161.81,0.015,0.0,74.9,0.001,1.08,0.0,274.62,1.827,0.008,161.81,17.26,274.62,0.788,14.129,23.08,0.719,0.32785714285714285,6.952142857142857,123.85333333333331,,,,,,,
2009,4.0,107.42,347.1,225.63,171.03750000000002,119.96,4.0,143.60000000000002,106.63,166.5533333333333,70.21,280.815,,66.4125,119.96,0.024,0.002,15.533,35.47,0.685,109.53,173.39,0.008,0.0,74.95,0.001,0.64,0.0,282.92,1.324,0.011,173.39,16.882,282.92,0.698,15.253,29.51,0.674,0.29571428571428576,7.003571428571428,129.1911111111111,,,,,,,
2010,4.0,109.34,381.17,266.1,190.15250000000003,122.04,4.0,147.715,87.91,178.87,120.0,290.63,,55.6725,122.04,0.027,0.001,22.62,45.45,0.033,84.15,179.26,0.01,0.0,109.34,0.003,0.65,0.0,263.41,2.17,0.029,179.26,24.82,263.41,1.047,22.505,29.82,0.032,0.1631428571428571,10.307857142857143,128.30555555555554,,,,,,,
2011,,105.71,,246.97,176.34,142.3,,117.805,112.06,118.975,58.88,248.76999999999998,0.0,89.05,142.3,0.054,0.0,13.73,23.98,0.727,138.22,158.51,0.004,0.001,136.99,0.003,0.65,0.0,296.72,1.988,0.009,158.51,15.772,296.72,0.736,13.622,22.07,0.713,0.3122857142857143,6.453285714285713,136.93,44.13,61.79,5.12,32.19,0.9,2844.826,53.6
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
