,Urban and other wastewater treatment plants - primary treatment (Number),Urban and other wastewater treatment plants - secondary treatment (Number),Urban and other wastewater treatment plants - tertiary treatment (Number),Number of plants (Number),"Generation of wastewater - agriculture, forestry, fishing (Million cubic metres)",Generation of wastewater - industry total (Million cubic metres),Total wastewater discharged - without treatment (Million cubic metres),Generation of wastewater - construction (Million cubic metres),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - mining and quarrying (Million cubic metres),Total discharges to inland waters (Million cubic metres),Generation of wastewater - services (Million cubic metres),Urban and industrial wastewater treatment - total inflow (Million cubic metres),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - manufacturing industries (Million cubic metres),Volume (Million cubic metres),Incoming load BOD5 (Tonnes of O2 per day),Design capacity BOD5 (Tonnes of O2 per day),Effluent BOD5 (Tonnes of O2 per day),Urban and other wastewater treatment plants - primary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - secondary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - tertiary treatment (Tonnes of O2 per day)
2000,41.0,25.0,24.0,30.0,3.58,38.04,223.78,,165.08,0.68,227.36,23.35,21.99,230.05,35.03,96.894,,,,,,
2001,28.0,30.0,27.0,28.333333333333332,2.98,39.75,224.87,,170.7,0.52,227.85,21.04,23.52,234.47,35.63,98.13300000000001,,,,,,
2002,45.0,32.0,28.0,35.0,3.73,46.44,228.98,,176.5,1.67,232.71,15.85,29.4,242.52,39.77,101.757,,,,,,
2003,34.0,25.0,15.0,24.666666666666668,3.1,41.71,219.82,,170.9,1.71,222.92,19.68,28.49,235.39,36.49,98.02099999999999,,,,,,
2004,21.0,21.0,23.0,21.666666666666668,3.89,46.51,218.75,,165.44,0.88,222.64,22.53,29.96,238.37,40.56,98.953,,,,,,
2005,17.0,29.0,20.0,22.0,4.9,46.5,183.1,,160.2,3.5,187.9,19.6,60.6,231.2,38.0,93.55,,,,,,
2006,24.0,22.0,18.0,21.333333333333332,4.1,43.3,175.7,,155.1,3.3,179.8,18.5,59.7,220.9,33.7,89.41,,,,,,
2007,152.0,33.0,18.0,67.66666666666667,5.1,40.7,218.8,,203.2,3.6,223.9,25.1,64.7,274.1,32.1,109.13000000000002,,,,,,
2008,156.0,46.0,12.0,71.33333333333333,1.6,40.3,212.4,,201.9,1.7,214.1,23.5,68.7,267.3,33.6,106.51000000000002,,,,,,
2009,126.0,42.0,13.0,60.333333333333336,5.2,41.0,227.3,,199.1,4.7,232.5,24.0,50.1,269.4,31.5,108.47999999999999,,,,,,
2010,197.0,41.0,14.0,84.0,4.0,42.1,220.6,,190.6,5.8,224.6,28.3,50.8,264.9,33.3,106.5,,,,,,
2011,127.0,39.0,20.0,62.0,4.9,34.7,200.8,,182.9,4.9,205.7,22.3,49.1,244.8,28.5,97.86000000000001,8.226666666666667,15.663333333333332,2.7066666666666666,9.206666666666665,12.593333333333334,4.796666666666667
2012,184.0,44.0,30.0,86.0,3.7,36.9,227.1,,184.5,1.9,230.7,29.0,33.5,254.1,33.6,103.5,1.7620000000000002,10.144666666666666,0.38200000000000006,1.0093333333333332,5.164666666666667,6.114666666666666
2013,137.0,58.0,25.0,73.33333333333333,3.5,35.9,226.2,0.1,188.2,3.7,229.7,25.9,34.0,253.5,30.4,93.73636363636363,2.3606666666666665,13.413333333333332,0.4126666666666667,0.9683333333333333,7.729,7.489333333333334
2014,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,
