,Water abstraction for agriculture - irrigation (Million cubic metres),Water abstraction for public water supply (Million cubic metres),Total gross abstraction (Million cubic metres),Desalinated water (Million cubic metres),Fresh groundwater (Million cubic metres),Fresh surface water (Million cubic metres),"Generation of wastewater - agriculture, forestry, fishing (Tonnes of O2 per day)","Generation of wastewater - agriculture, forestry, fishing (Million cubic metres)","Generation of wastewater - agriculture, forestry, fishing (Tonnes per day)",Generation of wastewater - industry total (Tonnes of O2 per day),Generation of wastewater - industry total (Million cubic metres),Generation of wastewater - industry total (Tonnes per day),Generation of wastewater - construction (Tonnes of O2 per day),Generation of wastewater - construction (Million cubic metres),Generation of wastewater - construction (Tonnes per day),Generation of wastewater - private households (Tonnes of O2 per day),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - private households (Tonnes per day),Generation of wastewater - mining and quarrying (Tonnes of O2 per day),Generation of wastewater - mining and quarrying (Million cubic metres),Generation of wastewater - mining and quarrying (Tonnes per day),Generation of wastewater - services (Tonnes of O2 per day),Generation of wastewater - services (Million cubic metres),Generation of wastewater - services (Tonnes per day),Generation of wastewater - point sources - total (Tonnes of O2 per day),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - point sources - total (Tonnes per day),Generation of wastewater - manufacturing industries (Tonnes of O2 per day),Generation of wastewater - manufacturing industries (Million cubic metres),Generation of wastewater - manufacturing industries (Tonnes per day),Nitrogen (N-tot ) (Tonnes per day),Biochemical oxygen demand (BOD) (Tonnes of O2 per day),Volume (Million cubic metres)
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1.96,46.61,53.23,0.0,96.555,20.586666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1.08,28.32,35.74666666666667,0.0,58.980000000000004,15.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,0.86,29.375,37.72,0.0,60.975,16.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,0.16,30.86,41.120000000000005,0.0,64.17,18.966666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1.12,30.58,51.49,0.0,77.975,20.266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1.51,30.74,49.68666666666667,0.0,77.835,18.793333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0.53,29.935,42.70666666666667,0.0,76.575,11.790000000000001,,,,9.13,3.01,,0.06,,,10.9,15.98,1.92,,,,0.04,0.67,,20.07,19.67,1.92,9.08,2.94,,1.92,8.213333333333333,8.454
2011,1.28,30.12,42.949999999999996,0.0,76.86,12.216666666666667,,,,11.55,11.82,,0.04,,,8.33,13.01,1.56,,,,0.06,0.9,,19.94,25.73,1.56,11.51,11.76,,1.56,8.571666666666667,12.643999999999998
2012,0.23,30.18,41.516666666666666,0.0,77.16,10.273333333333333,0.0,0.0,0.0,8.431751151,12.24643331,0.0,0.050613742,0.06304831,0.0,7.698014652,13.103373,1.789186288,0.0,0.0,0.0,0.057419548,0.685673,0.0,16.18718535,26.03547931,1.789186288,8.381137408,12.183385,0.0,0.447296572,5.100765231375,8.03967399125
2013,0.4,28.425,39.88666666666666,0.0,74.02,9.623333333333333,0.0,0.0,0.0,5.87327101,13.182249,0.027256997,0.0,0.0,0.0,9.02715901,16.856022,2.085000906,0.0,0.0,0.0,0.038462623,1.018461,0.0,14.93889264,31.056732,2.112257903,5.87327101,13.182249,0.027256997,0.531471600375,4.468882036625001,9.411964125
2014,0.33499999999999996,26.85,37.98,0.0,46.64333333333334,9.459999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0.8049999999999999,27.075,38.410000000000004,0.0,47.26333333333333,9.733333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
