,ID,Fresh surface water (Million cubic metres),Fresh groundwater (Million cubic metres)
2000,Switzerland,,
2001,Switzerland,,
2002,Switzerland,,
2003,Switzerland,,
2004,Switzerland,,
2005,Switzerland,,
2006,Switzerland,,
2007,Switzerland,,
2008,Switzerland,,
2009,Switzerland,,
2010,Switzerland,,
2011,Switzerland,,
2012,Switzerland,0.775,2.733333333333333
2013,Switzerland,,
2014,Switzerland,,
2015,Switzerland,,
2000,Germany,,
2001,Germany,,
2002,Germany,,
2003,Germany,,
2004,Germany,,
2005,Germany,,
2006,Germany,,
2007,Germany,1493.665,904.355
2008,Germany,,
2009,Germany,,
2010,Germany,1620.385,866.345
2011,Germany,,
2012,Germany,,
2013,Germany,,
2014,Germany,,
2015,Germany,,
2000,Hungary,,
2001,Hungary,,
2002,Hungary,,
2003,Hungary,,
2004,Hungary,,
2005,Hungary,,
2006,Hungary,9348.985,
2007,Hungary,290.24,376.37
2008,Hungary,279.81,360.93
2009,Hungary,2075.665,368.2
2010,Hungary,1398.956666666667,284.4843333333333
2011,Hungary,1382.208333333333,287.02166666666665
2012,Hungary,199.3845,288.84933333333333
2013,Hungary,192.5115,282.678
2014,Hungary,162.29399999999998,274.53766666666667
2015,Hungary,175.2255,285.4430000000001
2000,Slovenia,,
2001,Slovenia,,
2002,Slovenia,,
2003,Slovenia,,
2004,Slovenia,,
2005,Slovenia,,
2006,Slovenia,,
2007,Slovenia,,
2008,Slovenia,50.79666666666667,140.78
2009,Slovenia,49.88,138.93
2010,Slovenia,49.83333333333334,140.53
2011,Slovenia,52.36333333333334,142.89
2012,Slovenia,290.05999999999995,91.40000000000002
2013,Slovenia,343.035,90.21333333333332
2014,Slovenia,386.32,91.48
2015,Slovenia,344.4500000000001,92.83333333333336
2000,Czech Republic,,
2001,Czech Republic,,
2002,Czech Republic,,
2003,Czech Republic,,
2004,Czech Republic,,
2005,Czech Republic,,
2006,Czech Republic,70.4675,123.82
2007,Czech Republic,78.50999999999998,121.155
2008,Czech Republic,80.99,81.97
2009,Czech Republic,83.0825,120.795
2010,Czech Republic,80.10499999999998,79.35333333333331
2011,Czech Republic,83.1375,79.84666666666666
2012,Czech Republic,82.3,79.93333333333331
2013,Czech Republic,69.05,77.63333333333333
2014,Czech Republic,71.95,75.46666666666667
2015,Czech Republic,75.19999999999997,78.16666666666667
2000,Poland,,
2001,Poland,,
2002,Poland,,
2003,Poland,,
2004,Poland,,
2005,Poland,,
2006,Poland,,
2007,Poland,,
2008,Poland,,
2009,Poland,,
2010,Poland,0.151,0.07866666666666666
2011,Poland,0.1495,0.08700000000000001
2012,Poland,0.146,0.12133333333333332
2013,Poland,0.11800000000000001,0.17
2014,Poland,0.127,0.162
2015,Poland,0.2305,0.06133333333333332
2000,Slovakia,,
2001,Slovakia,,
2002,Slovakia,,
2003,Slovakia,,
2004,Slovakia,235.8733333333333,336.605
2005,Slovakia,195.47000000000003,326.62
2006,Slovakia,152.32000000000005,318.575
2007,Slovakia,128.58333333333334,308.3250000000001
2008,Slovakia,122.7,304.9
2009,Slovakia,112.34333333333336,302.815
2010,Slovakia,102.81333333333336,296.465
2011,Slovakia,104.20666666666666,289.32
2012,Slovakia,129.7,293.095
2013,Slovakia,121.65666666666664,283.815
2014,Slovakia,96.35,185.20666666666668
2015,Slovakia,102.63333333333334,187.05
2000,Romania,3125.25,966.0
2001,Romania,2928.0,876.0
2002,Romania,2909.75,759.0
2003,Romania,2589.5,711.5
2004,Romania,2315.25,665.5
2005,Romania,2028.075,628.5
2006,Romania,2087.5,564.0
2007,Romania,3240.666666666666,427.5
2008,Romania,1585.05,
2009,Romania,1633.965,
2010,Romania,847.6125,
2011,Romania,877.3850000000001,
2012,Romania,2002.4725,500.28
2013,Romania,1932.225,487.0750000000001
2014,Romania,1837.6175,472.17
2015,Romania,1891.8275,502.08
2000,Bulgaria,,
2001,Bulgaria,,
2002,Bulgaria,,
2003,Bulgaria,2005.085,186.09
2004,Bulgaria,1898.1725,163.82999999999996
2005,Bulgaria,1872.555,105.62333333333332
2006,Bulgaria,1910.845,124.07999999999998
2007,Bulgaria,1408.74,112.39
2008,Bulgaria,1560.4825,106.42333333333336
2009,Bulgaria,1524.025,101.31333333333332
2010,Bulgaria,1486.58,107.74333333333334
2011,Bulgaria,1533.2275,104.7666666666667
2012,Bulgaria,1407.1750000000004,106.24666666666668
2013,Bulgaria,1299.535,103.21333333333332
2014,Bulgaria,1286.05,102.93333333333332
2015,Bulgaria,1346.8000000000004,106.83333333333331
2000,Croatia,,
2001,Croatia,,
2002,Croatia,,
2003,Croatia,,
2004,Croatia,,
2005,Croatia,,
2006,Croatia,,
2007,Croatia,,
2008,Croatia,68.6625,255.625
2009,Croatia,66.4125,280.815
2010,Croatia,55.6725,290.63
2011,Croatia,89.05,248.77
2012,Croatia,,
2013,Croatia,,
2014,Croatia,,
2015,Croatia,,
